 Dylan Xiong, 1
 Verónica Forqué, 1
 Nicholas Pinnock, 1
 Killian Scott, 2
 Karin Bohn, 1
 Pierson Fode, 1
 Melis Birkan, 1
 Emily Bauer, 1
 Simona Brown, 1
Pål Sverre Hagen, 1
 Bee Vang, 1
 Jang Dong-gun, 2
Luis Aguirre, 1
 Donia Maher, 1
Canada, 34
 Aghniny Haque, 1
 Ryusei Yokohama, 1
 Serdar Gökhan, 1
 Larry the Cable Guy, 1
 Ndidi Obi, 1
 Jacob Bertrand, 1
 Josh Hopkins, 1
 Vinodhini, 3
 Bradley Hamilton, 1
 Lucie Boujenah, 1
 Vijay Varma, 1
 Claude Rich, 1
 Tsai Chen-nan, 1
 Jennifer Garner, 2
 Mark Olive, 1
 Nathalie Kelley, 2
 Sarah Geronimo, 5
 Son Ho-jun, 1
 Debbie Goh, 1
 Muhanad Al-Hamdi, 1
 Philip Keung, 1
 Mandira Bedi, 1
 Theodore Barnes, 2
 Elisabeth Shue, 2
Zita Hanrot, 1
 Gong Yoo, 1
Anna-Maria Sieklucka, 1
 Chris Wu, 1
 Lakshmi, 3
 O.T. Fagbenle, 1
 Hunter Deno, 1
 Jacob Derwig, 2
 Jorge Bosch, 1
 Noureen DeWulf, 1
 Kashish Singh, 1
 Olivia Newton-John, 1
 Belén Cuesta, 1
 Karibi Fubara, 1
 Pets Tseng, 2
 Nedumudi Venu, 2
 Celile Toyon Uysal, 1
 Callie Hernandez, 1
 Dakota Fanning, 2
Mohamed Ramadan, 1
 Sam Hammer, 1
 Richard Armitage, 1
 Ihana Dhillon, 1
 Ann Kok, 1
Feng Ku, 1
 Tewfik Jallab, 1
 Thibault De Montalembert, 1
 Seo In-guk, 1
Suman Mukhopadhyay, 1
 Rodrigo Romero, 1
 Stephanie Sheh, 1
 Kasia Smutniak, 1
 Yahya Abdul-Mateen II, 1
 Aditi Rao Hydari, 3
 Javier Cámara, 1
 Bhupendra Jadawat, 1
 Jonathan Cohen, 1
 Julie Tejwani, 17
 Rianti Cartwright, 1
 Se-yoon Yoo, 1
Jack Whitehall, 1
François Cluzet, 1
 Prasenjit Chatterjee, 1
 Olly Wilkins, 1
 Ewan McGregor, 4
 Weber Yang, 1
 Samantha Mumba, 1
 Shawn Pilot, 1
 Hanno Koffler, 1
 Christian Escribà, 1
Willy T. Ribbs, 1
 Jim Stenstrum, 1
 Sarah Baker, 1
Robert Gustafsson, 1
 Charlie Gillespie, 1
 Aura Garrido, 3
 Nick Cheung, 1
 Melia Kreiling, 1
 Mosharraf Karim, 1
 Sankalp Rastogi, 1
 Zhao Lusi, 1
 Juanita de Villiers, 1
 Lorene Ren, 1
 Ella Purnell, 1
 Nandana Sen, 1
 Christiane Paul, 1
 Katrine Rosenthal, 1
 Kit Harington, 1
 Evan Rachel Wood, 1
 Kenny Lucas, 1
 Zolisa Xaluva, 1
 Parambrata Chattopadhyay, 1
 Melonie Diaz, 1
 Megan Hilty, 1
 Chandrachoor Rai, 1
 Jane Darwell, 1
Yolanthe Cabau, 1
 Gillian Chung, 1
 Amaia Salamanca, 2
Eric Bauza, 1
 Ari Ozawa, 1
 Krithi Shetty, 1
 Tzi Ma, 1
Kunal Kohli, 1
 Ben Stiller, 1
 Hiroki Suzuki, 1
 Wang Yizhe, 1
Cam Clarke, 1
 Greta Fernández, 1
 Caleb McLaughlin, 1
 Lisa Durupt, 1
 Anderson Ballesteros, 1
 Nadine Marshall, 1
 Jamie Davis, 1
 Jessica Hecht, 1
 Vinnie Jones, 1
 Orián Suárez, 1
 Nicole da Silva, 1
 Gabriel Chavarria, 2
 Anna Francolini, 1
 Megan Boone, 1
Julianne Moore, 1
 Mathieu Amalric, 1
 Jitendra Kumar, 1
 Padmini, 2
 Neeraj Ghaywan, 1
 Farid Shawqy, 1
 Subbaraju, 1
Chris Sheffield, 1
 Anton Yelchin, 1
 Carolina Acevedo, 1
 RonReaco Lee, 1
Adam Sandler, 1
 Geraldine James, 1
 Natalie Martinez, 1
 Matt Lanter, 1
 Christopher Abbott, 2
 Tamsin Greig, 2
 Natalia Warner, 1
 Keke Palmer, 1
 So Joo-yeon, 1
 Emma Watson, 1
 Sheryl Lee, 1
Mexico, 14
 Kate Bosworth, 2
 Dan Stulbach, 1
 Emmy Rossum, 2
 Polina Kutepova, 1
 Luis Tosar, 1
 Emmanuel Rosset, 1
 Reina Ueda, 3
 Ana de la Reguera, 1
 Eric André, 1
 Abuli Mamaji, 1
 Kathleen Robertson, 1
 David Carling, 1
 Alain Hernández, 1
 Chio Su-Ping, 3
 Dolly Singh, 1
 Junichi Suwabe, 3
 Joey Lauren Adams, 2
 Alice Eve, 1
 Jannis Niewöhner, 1
 Alice Pagani, 1
 Thomas Scimeca, 1
 Emerald MacDonald, 1
 Max Thieriot, 1
 Tiger Chen, 1
Alex Stapleton, 1
 Jane Krakowski, 3
 Vitória Falcão, 1
 Olivier Loustau, 1
 Daniel Hopwood, 1
 Abdel Imam Abdullah, 1
 Stephanie Panisello, 1
 Giovanna Lancellotti, 1
 Steve Carr, 1
 Dolly Wells, 1
 Gul Panag, 2
 Paolo Bryant, 1
 Uma Bracaglia, 1
 Dani Kind, 1
 Dylan Walsh, 1
 Dilşah Demir, 1
 Rui En, 2
Russell Brand, 1
 Trond Fausa, 1
 Riley Smith, 1
 Nejat İşler, 1
Eric Balfour, 1
 Park Sung-woong, 1
 Lucy Lawless, 1
 Lakshmi Menon, 1
 Najwa Nimri, 1
 Priya Bapat, 1
 Nicholas Teo, 1
 John Ortiz, 1
 Donald Sutherland, 1
 Randy McDowell, 1
 Monia Chokri, 1
 Charlet Chung, 1
 Lauren Ash, 1
 David Schwimmer, 1
 James Frecheville, 1
 Macon Blair, 1
 Saeed Al-Sheryani, 1
 Martin Freeman, 3
 Qi Shu, 1
 Paola Lattus, 1
 Sharifah Amani, 2
 Adel Emam, 1
 Justin Chon, 2
Coco Celis, 1
 Gurpreet Guggi, 3
 Gina Piersanti, 1
 Fleur Delahunty, 1
 James Remar, 1
 Josh Dallas, 1
 Jella Haase, 1
 Asami Seto, 1
 Jon DeVries, 1
 Jodelle Ferland, 2
 Marcos Caruso, 1
 Jayapradha, 1
 Kathy Baker, 1
 Derek Ramsay, 2
 Wrenn Schmidt, 1
 Rainn Wilson, 1
Fedi Nuril, 1
 Angie Diaz, 1
 Ana Golja, 1
 Emmanuel Kabongo, 1
Hannah Gadsby, 1
 Song Ji-eun, 1
 Molly Reisman, 1
 Twinkle Jaiswal, 1
 Jeremy Levy, 1
Noah Kaye Bentley, 3
 Wojciech Zieliński, 1
 Maciej Musiał, 1
 Alice Ziolkoski, 1
 Kajal Jain, 1
 David Haydn-Jones, 1
 Ximena Romo, 2
 Yeo Jin-goo, 2
 Menna Shalaby, 2
 Hunter Clancey, 1
 Kiara Advani, 1
 Hiroki Iijima, 1
 Ruangroj Prachaya, 1
 Jong-hyun Lee, 1
 Robert Gant, 1
 Will Patton, 1
Spain, 19
 Danielle Panabaker, 1
 Mike Epps, 1
Roman Atwood, 1
 Finn Wolfhard, 2
 Danielle Macdonald, 2
 Monica Bellucci, 1
 Sean Bean, 1
 Natalia Tena, 1
 Machine Gun Kelly, 1
 Gabriel Malki, 1
 Robert Shaw, 1
 Tony Jaa, 1
 Adam Levy, 1
 Fynn Kliemann, 1
Gisela Ponce de León, 1
 Lauren McNamara, 1
 Samita Bangargi, 1
 Shashi Kapoor, 1
 Kirby Bliss Blanton, 1
 Bernd Siefert, 1
 Nicole Theriault, 1
 Michael Stuhlbarg, 1
 Elena Kazan, 1
 Reese Witherspoon, 2
 Nahyun, 1
 Alex Cohen, 1
 Kanika Batra, 1
Wu Kang-ren, 1
 Chandan Roy Sanyal, 2
 Uğur Yücel, 1
 Mamata Shankar, 1
 Jin-mo Joo, 1
 Sylvester Groth, 1
 Shaina Magdayao, 1
 Georgia Bradley, 1
 Kelly Sheridan, 1
 Andy Garcia, 1
 Adriano Zumbo, 1
 Chico, 1
 Guy Loel, 1
 Bharath Seeni, 1
 Emi Takei, 1
 Rebecca Lim, 2
 Miyuki Sawashiro, 1
 Adesua Etomi, 3
Jan Lewan, 1
 Ruby, 2
 Vaibhav Reddy, 2
 Rick Gomez, 1
 Adrian Pang, 1
 Amey Wagh, 1
 Katie Strain, 1
 Bijesh Jayarajan, 1
 Lili Beaudoin, 2
 Brad Pitt, 3
 Brad James, 1
 Gregg Sulkin, 1
Nushrat Bharucha, 1
 Jo Wyatt, 1
 Arun Kumar, 1
 Hanan Turk, 1
 Seth Numrich, 1
Thelonious Monk, 1
 Yutaka Matsushige, 1
 Ivan Oganesyan, 1
Aziz Ansari, 1
 Chen De-xiu, 1
 Awkwafina, 1
 Rodrigo Salinas, 1
 Bianca Comparato, 2
Georgia, 1
 Seung-un Hwang, 1
 Jon Kortajarena, 1
 Angus Macfadyen, 1
 Elizabeth Lail, 1
 Olivia d'Abo, 1
 Chanon Santinatornkul, 1
 Olivia Molinaro Eijo, 1
India, 50
William Moseley, 1
Mila Kunis, 2
 Alessandro Juliani, 1
 Ryoko Shiraishi, 1
 Jesse Plemons, 1
 Naglaa Badr, 1
 Matthew Sakimoto, 1
 Pamela Adlon, 1
 Deepak Chopra, 1
 Prithviraj Sukumaran, 1
 Anthony Padilla, 1
 Carlos Enrique Almirante, 1
 Kimberley Nixon, 1
Guggu Gill, 1
 Meher Vij, 1
 Antonio Pedro Tabet, 1
 Andrew Divoff, 1
 Roy Choi, 1
 Nobuhiko Okamoto, 1
 Gabriela de la Garza, 1
 Gérard Darmon, 1
 Mayella Lloclla, 1
 Brennley Brown, 1
 Deepak Dobriyal, 1
 Kevin Stone, 1
 Rajiv Kapoor, 1
 Karen Allen, 1
 Patricio Contreras, 1
 Rex Harrison, 1
 Goyo Jiménez, 1
 Bo Gritz, 1
 Anant Mahadevan, 1
 Wafaa Amer, 1
 Sayani Gupta, 1
 Sanae Kobayashi, 1
 Bradley Cooper, 1
 Minka Kelly, 1
 Tülin Özen, 1
 Rikki Simons, 1
Gabriel Iglesias, 1
 Rasika Dugal, 3
 Lynn Collins, 1
 Radhika Narayan, 1
 Asha Sarath, 1
 Razane Jammal, 1
 Gwyneth Paltrow, 2
Matthew Marsh, 1
 Waleed Zuaiter, 1
 Ana de Armas, 2
 Donia Samir Ghanim, 3
 Andrea Martin, 1
 Zerrin Sümer, 1
 Elena Purea, 1
 Davina Leonard, 1
 JC Santos, 1
 Lily Tomlin, 1
 Anand Sami, 1
 Sadao Abe, 1
Fred Tatasciore, 1
